,Y,X
0,349,190
1,349,189
2,349,188
3,349,187
4,349,186
5,349,185
6,349,184
7,349,183
8,349,182
9,349,181
10,349,180
11,349,179
12,348,195
13,348,194
14,348,193
15,348,192
16,348,191
17,348,190
18,348,189
19,348,188
20,348,187
21,348,186
22,348,185
23,348,184
24,348,183
25,348,182
26,348,181
27,348,180
28,348,179
29,348,178
30,348,177
31,348,176
32,348,175
33,347,199
34,347,198
35,347,197
36,347,196
37,347,195
38,347,194
39,347,193
40,347,192
41,347,191
42,347,190
43,347,189
44,347,188
45,347,187
46,347,186
47,347,185
48,347,184
49,347,183
50,347,182
51,347,181
52,347,180
53,347,179
54,347,178
55,347,177
56,347,176
57,347,175
58,347,174
59,347,173
60,347,172
61,347,171
62,346,201
63,346,200
64,346,199
65,346,198
66,346,197
67,346,196
68,346,195
69,346,194
70,346,193
71,346,192
72,346,191
73,346,190
74,346,189
75,346,188
76,346,187
77,346,186
78,346,185
79,346,184
80,346,183
81,346,182
82,346,181
83,346,180
84,346,179
85,346,178
86,346,177
87,346,176
88,346,175
89,346,174
90,346,173
91,346,172
92,346,171
93,346,170
94,346,169
95,345,202
96,345,201
97,345,200
98,345,199
99,345,198
100,345,197
101,345,196
102,345,195
103,345,194
104,345,193
105,345,192
106,345,191
107,345,178
108,345,177
109,345,176
110,345,175
111,345,174
112,345,173
113,345,172
114,345,171
115,345,170
116,345,169
117,345,168
118,345,167
119,344,204
120,344,203
121,344,202
122,344,201
123,344,200
124,344,199
125,344,198
126,344,197
127,344,196
128,344,174
129,344,173
130,344,172
131,344,171
132,344,170
133,344,169
134,344,168
135,344,167
136,344,166
137,344,165
138,344,164
139,343,205
140,343,204
141,343,203
142,343,202
143,343,201
144,343,200
145,343,199
146,343,171
147,343,170
148,343,169
149,343,168
150,343,167
151,343,166
152,343,165
153,343,164
154,343,163
155,343,162
156,342,206
157,342,205
158,342,204
159,342,203
160,342,202
161,342,201
162,342,200
163,342,169
164,342,168
165,342,167
166,342,166
167,342,165
168,342,164
169,342,163
170,342,162
171,342,161
172,342,160
173,341,208
174,341,207
175,341,206
176,341,205
177,341,204
178,341,203
179,341,202
180,341,166
181,341,165
182,341,164
183,341,163
184,341,162
185,341,161
186,341,160
187,341,159
188,340,209
189,340,208
190,340,207
191,340,206
192,340,205
193,340,204
194,340,203
195,340,164
196,340,163
197,340,162
198,340,161
199,340,160
200,340,159
201,340,158
202,339,211
203,339,210
204,339,209
205,339,208
206,339,207
207,339,206
208,339,205
209,339,162
210,339,161
211,339,160
212,339,159
213,339,158
214,339,157
215,338,212
216,338,211
217,338,210
218,338,209
219,338,208
220,338,207
221,338,206
222,338,161
223,338,160
224,338,159
225,338,158
226,338,157
227,337,213
228,337,212
229,337,211
230,337,210
231,337,209
232,337,208
233,337,207
234,337,160
235,337,159
236,337,158
237,337,157
238,337,156
239,336,214
240,336,213
241,336,212
242,336,211
243,336,210
244,336,209
245,336,159
246,336,158
247,336,157
248,336,156
249,336,155
250,335,215
251,335,214
252,335,213
253,335,212
254,335,211
255,335,210
256,335,158
257,335,157
258,335,156
259,335,155
260,335,154
261,334,216
262,334,215
263,334,214
264,334,213
265,334,212
266,334,158
267,334,157
268,334,156
269,334,155
270,334,154
271,333,216
272,333,215
273,333,214
274,333,213
275,333,212
276,333,157
277,333,156
278,333,155
279,333,154
280,333,153
281,332,217
282,332,216
283,332,215
284,332,214
285,332,213
286,332,156
287,332,155
288,332,154
289,332,153
290,331,218
291,331,217
292,331,216
293,331,215
294,331,214
295,331,156
296,331,155
297,331,154
298,331,153
299,330,219
300,330,218
301,330,217
302,330,216
303,330,215
304,330,156
305,330,155
306,330,154
307,330,153
308,329,220
309,329,219
310,329,218
311,329,217
312,329,216
313,329,215
314,329,155
315,329,154
316,329,153
317,329,152
318,328,220
319,328,219
320,328,218
321,328,217
322,328,216
323,328,155
324,328,154
325,328,153
326,328,152
327,327,221
328,327,220
329,327,219
330,327,218
331,327,217
332,327,155
333,327,154
334,327,153
335,327,152
336,326,222
337,326,221
338,326,220
339,326,219
340,326,218
341,326,155
342,326,154
343,326,153
344,326,152
345,326,151
346,325,223
347,325,222
348,325,221
349,325,220
350,325,219
351,325,154
352,325,153
353,325,152
354,325,151
355,324,223
356,324,222
357,324,221
358,324,220
359,324,219
360,324,154
361,324,153
362,324,152
363,324,151
364,324,150
365,323,224
366,323,223
367,323,222
368,323,221
369,323,220
370,323,153
371,323,152
372,323,151
373,323,150
374,322,224
375,322,223
376,322,222
377,322,221
378,322,153
379,322,152
380,322,151
381,322,150
382,322,149
383,321,225
384,321,224
385,321,223
386,321,222
387,321,152
388,321,151
389,321,150
390,321,149
391,320,225
392,320,224
393,320,223
394,320,222
395,320,152
396,320,151
397,320,150
398,320,149
399,320,148
400,319,226
401,319,225
402,319,224
403,319,223
404,319,222
405,319,151
406,319,150
407,319,149
408,319,148
409,318,226
410,318,225
411,318,224
412,318,223
413,318,151
414,318,150
415,318,149
416,318,148
417,318,147
418,317,227
419,317,226
420,317,225
421,317,224
422,317,223
423,317,150
424,317,149
425,317,148
426,317,147
427,316,227
428,316,226
429,316,225
430,316,224
431,316,150
432,316,149
433,316,148
434,316,147
435,316,146
436,315,228
437,315,227
438,315,226
439,315,225
440,315,224
441,315,149
442,315,148
443,315,147
444,315,146
445,314,228
446,314,227
447,314,226
448,314,225
449,314,149
450,314,148
451,314,147
452,314,146
453,314,145
454,313,229
455,313,228
456,313,227
457,313,226
458,313,225
459,313,148
460,313,147
461,313,146
462,313,145
463,312,229
464,312,228
465,312,227
466,312,226
467,312,148
468,312,147
469,312,146
470,312,145
471,311,230
472,311,229
473,311,228
474,311,227
475,311,226
476,311,148
477,311,147
478,311,146
479,311,145
480,310,230
481,310,229
482,310,228
483,310,227
484,310,147
485,310,146
486,310,145
487,310,144
488,309,231
489,309,230
490,309,229
491,309,228
492,309,227
493,309,147
494,309,146
495,309,145
496,309,144
497,308,231
498,308,230
499,308,229
500,308,228
501,308,147
502,308,146
503,308,145
504,308,144
505,307,232
506,307,231
507,307,230
508,307,229
509,307,228
510,307,147
511,307,146
512,307,145
513,307,144
514,306,232
515,306,231
516,306,230
517,306,229
518,306,147
519,306,146
520,306,145
521,306,144
522,305,233
523,305,232
524,305,231
525,305,230
526,305,229
527,305,146
528,305,145
529,305,144
530,304,233
531,304,232
532,304,231
533,304,230
534,304,146
535,304,145
536,304,144
537,304,143
538,303,234
539,303,233
540,303,232
541,303,231
542,303,230
543,303,146
544,303,145
545,303,144
546,303,143
547,302,234
548,302,233
549,302,232
550,302,231
551,302,146
552,302,145
553,302,144
554,302,143
555,301,235
556,301,234
557,301,233
558,301,232
559,301,231
560,301,146
561,301,145
562,301,144
563,301,143
564,300,235
565,300,234
566,300,233
567,300,232
568,300,146
569,300,145
570,300,144
571,300,143
572,299,235
573,299,234
574,299,233
575,299,232
576,299,145
577,299,144
578,299,143
579,298,236
580,298,235
581,298,234
582,298,233
583,298,145
584,298,144
585,298,143
586,298,142
587,297,236
588,297,235
589,297,234
590,297,233
591,297,145
592,297,144
593,297,143
594,297,142
595,296,236
596,296,235
597,296,234
598,296,233
599,296,145
600,296,144
601,296,143
602,296,142
603,295,237
604,295,236
605,295,235
606,295,234
607,295,145
608,295,144
609,295,143
610,295,142
611,294,237
612,294,236
613,294,235
614,294,234
615,294,145
616,294,144
617,294,143
618,294,142
619,293,237
620,293,236
621,293,235
622,293,234
623,293,144
624,293,143
625,293,142
626,293,141
627,292,238
628,292,237
629,292,236
630,292,235
631,292,144
632,292,143
633,292,142
634,292,141
635,291,238
636,291,237
637,291,236
638,291,235
639,291,144
640,291,143
641,291,142
642,291,141
643,290,238
644,290,237
645,290,236
646,290,235
647,290,144
648,290,143
649,290,142
650,290,141
651,289,238
652,289,237
653,289,236
654,289,235
655,289,144
656,289,143
657,289,142
658,289,141
659,288,239
660,288,238
661,288,237
662,288,236
663,288,144
664,288,143
665,288,142
666,288,141
667,287,239
668,287,238
669,287,237
670,287,236
671,287,144
672,287,143
673,287,142
674,287,141
675,286,239
676,286,238
677,286,237
678,286,236
679,286,144
680,286,143
681,286,142
682,286,141
683,285,240
684,285,239
685,285,238
686,285,237
687,285,236
688,285,144
689,285,143
690,285,142
691,285,141
692,284,240
693,284,239
694,284,238
695,284,237
696,284,144
