,Y,X
465,309,202
466,309,201
467,309,200
468,308,277
469,308,276
470,308,275
471,308,274
472,308,203
473,308,202
474,308,201
475,308,200
476,307,277
477,307,276
478,307,275
479,307,274
480,307,202
481,307,201
482,307,200
483,307,199
484,306,278
485,306,277
486,306,276
487,306,275
488,306,202
489,306,201
490,306,200
491,306,199
492,305,278
493,305,277
494,305,276
495,305,275
496,305,202
497,305,201
498,305,200
499,305,199
500,305,198
501,304,278
502,304,277
503,304,276
504,304,275
505,304,201
506,304,200
507,304,199
508,304,198
509,303,279
510,303,278
511,303,277
512,303,276
513,303,201
514,303,200
515,303,199
516,303,198
517,303,197
518,302,279
519,302,278
520,302,277
521,302,276
522,302,200
523,302,199
524,302,198
525,302,197
526,301,279
527,301,278
528,301,277
529,301,276
530,301,200
531,301,199
532,301,198
533,301,197
534,301,196
535,300,279
536,300,278
537,300,277
538,300,276
539,300,199
540,300,198
541,300,197
542,300,196
543,299,280
544,299,279
545,299,278
546,299,277
547,299,199
548,299,198
549,299,197
550,299,196
551,299,195
552,298,280
553,298,279
554,298,278
555,298,277
556,298,198
557,298,197
558,298,196
559,298,195
560,297,280
561,297,279
562,297,278
563,297,277
564,297,198
565,297,197
566,297,196
567,297,195
568,296,281
569,296,280
570,296,279
571,296,278
572,296,277
573,296,197
574,296,196
575,296,195
576,296,194
577,295,281
578,295,280
579,295,279
580,295,278
581,295,197
582,295,196
583,295,195
584,295,194
585,294,281
586,294,280
587,294,279
588,294,278
589,294,197
590,294,196
591,294,195
592,294,194
593,294,193
594,293,281
595,293,280
596,293,279
597,293,278
598,293,196
599,293,195
600,293,194
601,293,193
602,292,282
603,292,281
604,292,280
605,292,279
606,292,196
607,292,195
608,292,194
609,292,193
610,292,192
611,291,282
612,291,281
613,291,280
614,291,279
615,291,195
616,291,194
617,291,193
618,291,192
619,290,282
620,290,281
621,290,280
622,290,279
623,290,195
624,290,194
625,290,193
626,290,192
627,290,191
628,289,282
629,289,281
630,289,280
631,289,279
632,289,194
633,289,193
634,289,192
635,289,191
636,288,282
637,288,281
638,288,280
639,288,279
640,288,194
641,288,193
642,288,192
643,288,191
644,288,190
645,287,282
646,287,281
647,287,280
648,287,279
649,287,193
650,287,192
651,287,191
652,287,190
653,286,282
654,286,281
655,286,280
656,286,279
657,286,193
658,286,192
659,286,191
660,286,190
661,285,282
662,285,281
663,285,280
664,285,279
665,285,193
666,285,192
667,285,191
668,285,190
669,285,189
670,284,282
671,284,281
672,284,280
673,284,279
674,284,192
675,284,191
676,284,190
677,284,189
678,283,282
679,283,281
680,283,280
681,283,279
682,283,192
683,283,191
684,283,190
685,283,189
686,282,282
687,282,281
688,282,280
689,282,279
690,282,192
691,282,191
692,282,190
693,282,189
694,281,282
695,281,281
696,281,280
697,281,279
698,281,191
699,281,190
700,281,189
701,281,188
702,280,282
703,280,281
704,280,280
705,280,279
